studentID,customerID,grade_level,attendance_percentage,gpa_average,parent_engagement,tuition_status,tenure,MonthlyCharges,TotalCharges,SeniorCitizen,gender,Partner,Dependents,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod
STU-1025,STU-1025,Grade 10,76.4,3.29,Medium,Pending,60,350.0,21000.0,0,Male,No,Yes,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check
STU-1026,STU-1026,Grade 11,62.3,3.71,Low,Installment Plan,66,370.0,24420.0,0,Female,No,Yes,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Electronic check
STU-1027,STU-1027,Grade 7,77.8,3.88,High,Pending,42,290.0,12180.0,0,Male,Yes,Yes,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check
STU-1028,STU-1028,Grade 8,75.2,3.09,Medium,Installment Plan,48,310.0,14880.0,0,Female,No,Yes,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check
STU-1029,STU-1029,Grade 9,78.4,3.15,High,Pending,54,330.0,17820.0,0,Male,Yes,Yes,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check
STU-1030,STU-1030,Grade 2,87.6,2.91,Medium,Installment Plan,12,190.0,2280.0,0,Female,No,Yes,Yes,No,DSL,No,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check
STU-1031,STU-1031,Grade 6,98.9,2.64,Low,Installment Plan,36,270.0,9720.0,0,Female,No,Yes,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check
STU-1032,STU-1032,Grade 5,77.6,2.63,Low,Paid,30,250.0,7500.0,0,Female,No,Yes,Yes,No,DSL,No,Yes,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic)
STU-1033,STU-1033,Grade 3,60.9,2.36,Low,Paid,18,210.0,3780.0,0,Male,No,Yes,Yes,No,DSL,No,Yes,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic)
STU-1034,STU-1034,Grade 7,76.2,3.52,Low,Installment Plan,42,290.0,12180.0,0,Male,No,Yes,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check
STU-1035,STU-1035,Grade 8,74.7,3.86,Low,Paid,48,310.0,14880.0,0,Female,No,Yes,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic)
STU-1036,STU-1036,Grade 1,60.3,2.47,Medium,Installment Plan,6,170.0,1020.0,0,Male,No,Yes,Yes,No,DSL,No,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check
STU-1037,STU-1037,Grade 9,68.7,3.02,High,Installment Plan,54,330.0,17820.0,0,Male,Yes,Yes,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check
STU-1038,STU-1038,Grade 5,77.3,2.16,High,Installment Plan,30,250.0,7500.0,0,Female,Yes,Yes,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check
STU-1039,STU-1039,Grade 1,88.8,3.9,Low,Installment Plan,6,170.0,1020.0,0,Female,No,Yes,Yes,No,DSL,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check
STU-1040,STU-1040,Grade 9,83.9,3.06,High,Paid,54,330.0,17820.0,0,Male,Yes,Yes,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic)
STU-1041,STU-1041,Grade 6,64.2,2.13,Medium,Paid,36,270.0,9720.0,0,Female,No,Yes,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic)
STU-1042,STU-1042,Grade 4,78.0,3.23,Low,Pending,24,230.0,5520.0,0,Male,No,Yes,Yes,No,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check
STU-1043,STU-1043,Grade 12,96.6,2.2,Medium,Installment Plan,72,390.0,28080.0,0,Female,No,Yes,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Electronic check
STU-1044,STU-1044,Grade 11,65.5,2.54,Medium,Installment Plan,66,370.0,24420.0,0,Female,No,Yes,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Electronic check
STU-1045,STU-1045,Grade 5,85.1,3.91,Low,Pending,30,250.0,7500.0,0,Male,No,Yes,Yes,No,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check
STU-1046,STU-1046,Grade 2,63.5,2.77,High,Installment Plan,12,190.0,2280.0,0,Male,Yes,Yes,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check
STU-1047,STU-1047,Grade 7,83.2,1.86,Low,Pending,42,290.0,12180.0,0,Female,No,Yes,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check
STU-1048,STU-1048,Grade 1,69.5,3.05,Medium,Installment Plan,6,170.0,1020.0,0,Female,No,Yes,Yes,No,DSL,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check
STU-1049,STU-1049,Grade 6,93.9,2.13,High,Installment Plan,36,270.0,9720.0,0,Male,Yes,Yes,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check
STU-1050,STU-1050,Grade 5,80.6,2.91,High,Installment Plan,30,250.0,7500.0,0,Female,Yes,Yes,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check
STU-1051,STU-1051,Grade 10,78.3,3.57,High,Pending,60,350.0,21000.0,0,Female,Yes,Yes,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check
STU-1052,STU-1052,Grade 3,96.9,2.48,Low,Pending,18,210.0,3780.0,0,Female,No,Yes,Yes,No,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check
STU-1053,STU-1053,Grade 11,94.3,2.09,Low,Installment Plan,66,370.0,24420.0,0,Female,No,Yes,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Electronic check
STU-1054,STU-1054,Grade 12,73.3,2.01,Low,Installment Plan,72,390.0,28080.0,0,Male,No,Yes,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Electronic check
STU-1055,STU-1055,Grade 3,82.3,3.14,Medium,Paid,18,210.0,3780.0,0,Female,No,Yes,Yes,No,DSL,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic)
STU-1056,STU-1056,Grade 3,70.6,3.79,High,Installment Plan,18,210.0,3780.0,0,Female,Yes,Yes,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check
STU-1057,STU-1057,Grade 11,83.1,2.9,High,Pending,66,370.0,24420.0,0,Female,Yes,Yes,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check
STU-1058,STU-1058,Grade 9,82.1,1.81,High,Installment Plan,54,330.0,17820.0,0,Female,Yes,Yes,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check
STU-1059,STU-1059,Grade 8,91.7,3.95,High,Paid,48,310.0,14880.0,0,Male,Yes,Yes,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic)
STU-1060,STU-1060,Grade 1,92.1,2.84,High,Installment Plan,6,170.0,1020.0,0,Female,Yes,Yes,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check
STU-1061,STU-1061,Grade 1,88.9,3.27,Low,Paid,6,170.0,1020.0,0,Female,No,Yes,Yes,No,DSL,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic)
STU-1062,STU-1062,Grade 1,76.2,3.03,Low,Pending,6,170.0,1020.0,0,Male,No,Yes,Yes,No,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check
STU-1063,STU-1063,Grade 6,63.9,2.77,Medium,Installment Plan,36,270.0,9720.0,0,Female,No,Yes,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check
STU-1064,STU-1064,Grade 1,69.6,3.06,Medium,Pending,6,170.0,1020.0,0,Male,No,Yes,Yes,No,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check
STU-1065,STU-1065,Grade 2,86.7,2.24,High,Paid,12,190.0,2280.0,0,Female,Yes,Yes,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic)
STU-1066,STU-1066,Grade 11,78.2,3.28,Medium,Installment Plan,66,370.0,24420.0,0,Male,No,Yes,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Electronic check
STU-1067,STU-1067,Grade 3,84.2,2.12,High,Installment Plan,18,210.0,3780.0,0,Male,Yes,Yes,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check
STU-1068,STU-1068,Grade 5,72.5,2.01,High,Pending,30,250.0,7500.0,0,Male,Yes,Yes,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check
STU-1069,STU-1069,Grade 4,81.9,3.58,High,Installment Plan,24,230.0,5520.0,0,Male,Yes,Yes,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check
STU-1070,STU-1070,Grade 8,99.3,2.45,High,Paid,48,310.0,14880.0,0,Male,Yes,Yes,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic)
STU-1071,STU-1071,Grade 4,71.0,3.34,Medium,Pending,24,230.0,5520.0,0,Male,No,Yes,Yes,No,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check
STU-1072,STU-1072,Grade 5,81.3,3.58,Low,Installment Plan,30,250.0,7500.0,0,Male,No,Yes,Yes,No,DSL,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check
STU-1073,STU-1073,Grade 11,88.0,2.09,Medium,Installment Plan,66,370.0,24420.0,0,Male,No,Yes,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Electronic check
STU-1074,STU-1074,Grade 7,65.4,3.72,Medium,Paid,42,290.0,12180.0,0,Female,No,Yes,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic)
STU-1075,STU-1075,Grade 7,83.1,3.7,Low,Installment Plan,42,290.0,12180.0,0,Male,No,Yes,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check
STU-1076,STU-1076,Grade 11,75.1,2.21,High,Installment Plan,66,370.0,24420.0,0,Male,Yes,Yes,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check
STU-1077,STU-1077,Grade 2,65.1,3.59,Medium,Pending,12,190.0,2280.0,0,Female,No,Yes,Yes,No,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check
STU-1078,STU-1078,Grade 10,90.4,2.58,Low,Installment Plan,60,350.0,21000.0,0,Male,No,Yes,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Electronic check
STU-1079,STU-1079,Grade 6,91.3,2.0,High,Paid,36,270.0,9720.0,0,Female,Yes,Yes,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic)
STU-1080,STU-1080,Grade 9,62.0,3.08,High,Pending,54,330.0,17820.0,0,Female,Yes,Yes,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check
STU-1081,STU-1081,Grade 12,84.4,3.52,Low,Pending,72,390.0,28080.0,0,Female,No,Yes,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check
STU-1082,STU-1082,Grade 7,79.7,3.69,High,Installment Plan,42,290.0,12180.0,0,Male,Yes,Yes,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check
STU-1083,STU-1083,Grade 5,88.3,2.53,Low,Installment Plan,30,250.0,7500.0,0,Female,No,Yes,Yes,No,DSL,No,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check
STU-1084,STU-1084,Grade 2,74.1,3.06,Medium,Installment Plan,12,190.0,2280.0,0,Male,No,Yes,Yes,No,DSL,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check
STU-1085,STU-1085,Grade 1,91.5,2.96,Low,Pending,6,170.0,1020.0,0,Male,No,Yes,Yes,No,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check
STU-1086,STU-1086,Grade 8,67.3,2.29,High,Pending,48,310.0,14880.0,0,Male,Yes,Yes,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check
STU-1087,STU-1087,Grade 9,94.3,3.34,Medium,Pending,54,330.0,17820.0,0,Male,No,Yes,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check
STU-1088,STU-1088,Grade 12,67.8,2.12,Low,Pending,72,390.0,28080.0,0,Male,No,Yes,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check
STU-1089,STU-1089,Grade 5,81.8,2.43,High,Pending,30,250.0,7500.0,0,Female,Yes,Yes,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check
STU-1090,STU-1090,Grade 7,91.3,3.04,Medium,Installment Plan,42,290.0,12180.0,0,Male,No,Yes,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check
STU-1091,STU-1091,Grade 3,93.7,3.43,Low,Installment Plan,18,210.0,3780.0,0,Female,No,Yes,Yes,No,DSL,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check
STU-1092,STU-1092,Grade 12,88.4,2.77,High,Pending,72,390.0,28080.0,0,Male,Yes,Yes,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check
STU-1093,STU-1093,Grade 9,75.9,3.0,High,Installment Plan,54,330.0,17820.0,0,Male,Yes,Yes,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check
STU-1094,STU-1094,Grade 10,80.3,3.94,Medium,Pending,60,350.0,21000.0,0,Male,No,Yes,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check
STU-1095,STU-1095,Grade 10,85.8,3.52,Low,Pending,60,350.0,21000.0,0,Male,No,Yes,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check
STU-1096,STU-1096,Grade 12,68.1,2.98,High,Paid,72,390.0,28080.0,0,Female,Yes,Yes,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic)
STU-1097,STU-1097,Grade 7,60.5,2.36,High,Pending,42,290.0,12180.0,0,Female,Yes,Yes,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check
STU-1098,STU-1098,Grade 7,65.6,1.87,Medium,Installment Plan,42,290.0,12180.0,0,Male,No,Yes,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check
STU-1099,STU-1099,Grade 9,61.4,2.39,Low,Installment Plan,54,330.0,17820.0,0,Female,No,Yes,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Electronic check
STU-1100,STU-1100,Grade 7,91.6,2.36,Medium,Paid,42,290.0,12180.0,0,Female,No,Yes,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic)
